API,Constraint_Type,TP,FP,FN,Precision,Recall,F1
Canada Holidays API,Request-Response,0,3,0,-,-,-
GitLab Branch API,Request-Response,10,5,39,0.6666666666666666,0.20408163265306123,0.3125
GitLab Commit API,Request-Response,19,17,52,0.5277777777777778,0.2676056338028169,0.35514018691588783
GitLab Groups API,Request-Response,18,4,66,0.8181818181818182,0.21428571428571427,0.33962264150943394
GitLab Issues API,Request-Response,75,34,65,0.6880733944954128,0.5357142857142857,0.6024096385542169
GitLab Project API,Request-Response,22,12,122,0.6470588235294118,0.1527777777777778,0.24719101123595508
GitLab Repository API,Request-Response,5,10,39,0.3333333333333333,0.11363636363636363,0.16949152542372878
StripeClone API,Request-Response,14,14,4,0.5,0.7777777777777778,0.6086956521739131
Canada Holidays API,Response-property,3,1,3,0.75,0.5,0.6
StripeClone API,Response-property,12,11,2,0.5217391304347826,0.8571428571428571,0.6486486486486486
